"Deal_ID","Created_Date","Close_Date","Fiscal_Year","Quarter","Month","Sales_Rep","Manager","Region","City","Customer_Name","Industry","Customer_Type","Is_New_Customer","Product_Name","Product_Category","Deal_Size_Tier","Pipeline_Stage","Win_Probability_%","Deal_Status","Contract_Value_VND","Discount_%","Discount_Amount_VND","Net_Revenue_VND","Cost_of_Sale_VND","Gross_Profit_VND","Gross_Margin_%","Payment_Terms","Payment_Collected_VND","Outstanding_Balance_VND","Sales_Cycle_Days","Lead_Source","Lost_Reason","Forecast_Category","Activities_Count","Last_Activity_Date","Customer_Satisfaction","NPS_Score","Contract_Renewed","Upsell_Opportunity","Next_Follow_Up_Date","Notes"
"DEAL-00001",2024-10-19,2024-11-06,"FY2024","Q4","Oct","Trần Văn Tuấn","Bùi Thị Mai","Miền Trung","Hải Phòng","Công ty TNHH Bảo Việt","Construction","B2B","No","Warehouse Management","Software","Enterprise","Prospecting",5,"Open",3301043000,10.8,356513000,2944530000,1422797000,1521733000,51.68,"Milestone",588906000,2355624000,18,"Event/Trade Show","N/A","Pipeline",11,2024-10-23,3.1,2,"No","No",2024-11-18,
"DEAL-00002",2024-10-12,2024-12-31,"FY2024","Q4","Oct","Bùi Thị Mai","Phạm Thị Thu","Tây Nguyên","Hà Nội","Công ty CP Đồng Nai","Logistics","B2B","No","HR Management Suite","Software","Mid-Market","Prospecting",5,"Open",228561000,15.8,36113000,192448000,39606000,152842000,79.42,"Monthly Subscription",44263000,148185000,135,"Inbound Lead","N/A","Pipeline",25,2024-12-06,1.1,-19,"No","No",2025-02-06,"Cần demo sản phẩm"
"DEAL-00003",2024-06-29,2024-10-07,"FY2024","Q2","Jun","Dương Thị Hạnh","Hoàng Văn Đức","Miền Trung","Hà Nội","Tập đoàn Đà Nẵng","F&B","B2B","No","IT Support Contract","Services","Enterprise","Closed Lost",0,"Lost",4312262000,15.8,681337000,3630925000,1800939000,1829986000,50.4,"Net 60",217856000,3413069000,100,"Partner Referral","Timeline not ready","Omitted",15,2024-09-22,2.7,9,"No","No",,
"DEAL-00004",2024-06-21,2024-10-02,"FY2024","Q2","Jun","Đặng Văn Nam","Bùi Thị Mai","Miền Nam","Bình Dương","Công ty TNHH Bảo Việt","Retail","B2B","Yes","Cybersecurity Package","Security","SMB","Prospecting",5,"Open",50689000,1,507000,50182000,12791000,37391000,74.51,"Net 30",3513000,46669000,103,"Partner Referral","N/A","Pipeline",23,2024-09-16,1.7,3,"No","Yes",2024-11-03,
"DEAL-00005",2024-01-11,2024-02-14,"FY2024","Q1","Jan","Bùi Thị Mai","Trần Thị Lan","Tây Nguyên","Hà Nội","Tập đoàn Tân Việt","Retail","B2B","No","POS System","Hardware","SMB","Needs Analysis",30,"Open",45181000,19.8,8946000,36235000,14034000,22201000,61.27,"Monthly Subscription",4348000,31887000,34,"Upsell/Cross-sell","N/A","Pipeline",5,2024-01-31,3.4,-25,"No","No",2024-05-02,
"DEAL-00006",2024-11-19,2024-12-31,"FY2024","Q4","Nov","Dương Thị Hạnh","Trần Thị Lan","Tây Nguyên","Đà Nẵng","Công ty CP Hưng Thịnh","Education","B2B","Yes","CRM System","Software","SMB","Closed Lost",0,"Lost",125574000,9,11302000,114272000,42795000,71477000,62.55,"Milestone",2285000,111987000,90,"Partner Referral","No budget","Omitted",23,2024-12-30,2.2,-33,"No","Yes",,
"DEAL-00007",2024-12-08,2024-12-31,"FY2024","Q4","Dec","Mai Văn Long","Phạm Thị Thu","Miền Nam","Hải Phòng","Tập đoàn An Khang","Logistics","B2B","No","Mobile App Development","Services","Mid-Market","Negotiation",75,"Open",484130000,16.9,81818000,402312000,86940000,315372000,78.39,"Annual Subscription",40231000,362081000,27,"Upsell/Cross-sell","N/A","Best Case",25,2024-12-28,1.1,12,"No","No",2025-01-20,
"DEAL-00008",2024-11-29,2024-12-31,"FY2024","Q4","Nov","Vũ Thị Hoa","Đặng Văn Nam","Tây Nguyên","Hồ Chí Minh","Công ty CP Kim Long","F&B","B2B","No","Warehouse Management","Software","Enterprise","Prospecting",5,"Open",1128392000,9.3,104940000,1023452000,351863000,671589000,65.62,"Annual Subscription",133049000,890403000,177,"Upsell/Cross-sell","N/A","Pipeline",21,2024-12-10,1.3,10,"No","No",2025-03-18,"Khách hàng tiềm năng cao"
"DEAL-00009",2024-11-17,2024-12-31,"FY2024","Q4","Nov","Lê Văn Minh","Dương Thị Hạnh","Miền Nam","Hồ Chí Minh","Công ty CP Thành Đông","Real Estate","B2B","No","Mobile App Development","Services","SMB","Prospecting",5,"Open",128213000,5.3,6795000,121418000,32552000,88866000,73.19,"Upfront",2428000,118990000,51,"Inbound Lead","N/A","Pipeline",27,2024-12-22,1.6,-34,"No","No",2025-01-16,"Cần demo sản phẩm"
"DEAL-00010",2024-08-24,2024-12-02,"FY2024","Q3","Aug","Dương Thị Hạnh","Hoàng Văn Đức","Tây Nguyên","Cần Thơ","Công ty TNHH Gia Bảo","Healthcare","B2B","No","Mobile App Development","Services","SMB","Prospecting",5,"Open",12525000,8,1002000,11523000,5537000,5986000,51.95,"Net 60",2881000,8642000,100,"Inbound Lead","N/A","Pipeline",13,2024-11-18,1.4,-38,"No","No",2025-02-22,"Cần demo sản phẩm"
